"Academic Year","Term","Subject","Course No.","Course Title","Instructor","GPA","A (%)","A- (%)","B+ (%)","B (%)","B- (%)","C+ (%)","C (%)","C- (%)","D+ (%)","D (%)","D- (%)","F (%)","Withdraws","Graded Enrollment","CRN","Credits"
"2017-18","Spring","CS","5604","Info Storage and Ret","Lu","3.67","50","16.7","16.7","16.7","0","0","0","0","0","0","0","0","0","6","19702","  3"
"2018-19","Fall","CS","4974","Independent Study","Huang","4","100","0","0","0","0","0","0","0","0","0","0","0","0","6","82739","  3"
"2018-19","Fall","CS","5485","Numer Analy and Softw","Sandu","4","100","0","0","0","0","0","0","0","0","0","0","0","0","6","82766","  3"
"2018-19","Fall","CS","4654","Intermed Data Analytics & ML","Gramacy","3.17","66.7","0","0","16.7","0","0","0","0","0","0","0","16.7","0","6","89740","  3"
"2018-19","Fall","CS","6604","AT: Spatial Data Management","Lu","3.9","66.7","33.3","0","0","0","0","0","0","0","0","0","0","0","6","90688","  3"
"2018-19","Spring","CS","5046","Computation for Life Sciences","Zhang","3.95","83.3","16.7","0","0","0","0","0","0","0","0","0","0","0","6","12862","  3"
"2018-19","Spring","CS","6404","Adv Topics Math S/W","Sandu","4","100","0","0","0","0","0","0","0","0","0","0","0","0","6","20179","  3"
"2019-20","Spring","CS","4994","Undergraduate Research","Shaffer","4","100","0","0","0","0","0","0","0","0","0","0","0","0","6","13093","  3"
"2019-20","Spring","CS","6504","TS: Memory System Architecture","Jian","4","100","0","0","0","0","0","0","0","0","0","0","0","0","6","13236","  3"
"2020-21","Fall","CS","5565","Network Arch and Protocols","Yang","3.9","66.7","33.3","0","0","0","0","0","0","0","0","0","0","0","6","83123","  3"
"2020-21","Fall","CS","6204","TS:Publ Key Infrast & Inet Sec","Chung","3.95","83.3","16.7","0","0","0","0","0","0","0","0","0","0","0","6","83208","  3"
"2020-21","Spring","CS","5560","Fundamentals of Info Security","Lou","3.83","83.3","0","0","16.7","0","0","0","0","0","0","0","0","0","6","13297","  3"
"2020-21","Spring","CS","5485","Numer Analy and Softw","Sandu","4","100","0","0","0","0","0","0","0","0","0","0","0","0","6","20502","  3"
"2021-22","Fall","CS","4994","Undergraduate Research","Heath","4","100","0","0","0","0","0","0","0","0","0","0","0","0","6","83174","  3"
"2021-22","Fall","CS","5264","Adv Linux Kernel Programming","Min","3.38","66.7","0","0","0","0","16.7","16.7","0","0","0","0","0","0","6","83208","  3"
"2021-22","Fall","CS","4274","Secure Computing Capstone","Viswanath","3.28","66.7","16.7","0","0","0","0","0","0","0","0","0","16.7","0","6","92610","  3"
"2021-22","Spring","CS","2974","Independent Study","Ellis","4","100","0","0","0","0","0","0","0","0","0","0","0","0","6","13246","  3"
"2021-22","Spring","CS","3714","Mobile Software Development","Balci","2.4","16.7","16.7","0","16.7","0","0","16.7","16.7","0","0","0","16.7","0","6","21599","  3"
"2021-22","Spring","CS","5486","Numer Analy and Softw","Embree","3.88","83.3","0","16.7","0","0","0","0","0","0","0","0","0","0","6","21828","  3"
"2021-22","Fall","CS","2304","TS:Prog Sys Data Manage & SQL","Charles","3.17","55","0","5","20","5","0","0","0","5","0","0","10","3","20","83072","  1"
"2012-13","Fall","CS","5504","Computer Architecture","Patterson","3.96","85.7","14.3","0","0","0","0","0","0","0","0","0","0","0","7","92014","  3"
"2012-13","Fall","CS","6604","TS:Tools for On-Line Education","Edwards","4","100","0","0","0","0","0","0","0","0","0","0","0","0","7","98004","  3"
"2012-13","Spring","CS","4994","Undergraduate Research","Cao","4","100","0","0","0","0","0","0","0","0","0","0","0","0","6","12131","  3"
"2012-13","Spring","CS","4994","Undergraduate Research","Dunlap","4","100","0","0","0","0","0","0","0","0","0","0","0","0","6","12131","  3"
"2012-13","Spring","CS","4994","Undergraduate Research","Ribbens","4","100","0","0","0","0","0","0","0","0","0","0","0","0","6","12131","  3"
"2012-13","Spring","CS","5424","Computational Cell Biology","Cao","3.91","71.4","28.6","0","0","0","0","0","0","0","0","0","0","0","7","12137","  3"
"2012-13","Spring","CS","5854","Computational Systems Biology","Murali","3.43","14.3","28.6","28.6","28.6","0","0","0","0","0","0","0","0","0","7","12150","  3"
"2012-13","Spring","CS","5804","Intro Artificial Intelligence","Egyhazy","3.43","28.6","14.3","14.3","42.9","0","0","0","0","0","0","0","0","0","7","18878","  3"
"2013-14","Fall","CS","5565","Network Arch and Protocols","Clancy","3.29","0","28.6","28.6","42.9","0","0","0","0","0","0","0","0","0","7","92122","  3"
"2013-14","Fall","CS","6504","TS:Co-Design for Par Comput","Feng","3.43","42.9","0","14.3","28.6","14.3","0","0","0","0","0","0","0","0","7","97844","  3"
"2013-14","Spring","CS","4884","Comp Bio & Bioinfo Capstone","Zhang","3.7","0","100","0","0","0","0","0","0","0","0","0","0","0","7","19299","  3"
"2013-14","Spring","CS","6404","TS:Adv Top Computational Sci","Onufriev","3.81","57.1","28.6","14.3","0","0","0","0","0","0","0","0","0","0","7","20177","  3"
"2014-15","Fall","CS","5504","Computer Architecture","Paul","3.39","42.9","0","14.3","14.3","28.6","0","0","0","0","0","0","0","0","7","86571","  3"
"2014-15","Fall","CS","4634","Design Of Information","Harrison","3.04","14.3","0","14.3","57.1","0","0","14.3","0","0","0","0","0","0","7","88106","  3"
"2014-15","Fall","CS","6724","TS:Natural User Interfaces","Bowman","3.96","85.7","14.3","0","0","0","0","0","0","0","0","0","0","0","7","88128","  3"
"2015-16","Fall","CS","3654","Intro Data Analytics & Visual","Davanloo Tajbakhsh","2.71","28.6","0","14.3","14.3","14.3","0","0","0","0","28.6","0","0","1","7","82192","  3"
"2015-16","Fall","CS","6404","TS:Data Assimilation:Inv Mod","Sandu","4","100","0","0","0","0","0","0","0","0","0","0","0","0","7","88832","  3"
"2016-17","Fall","CS","4784","Human-Computer Interact Capstn","Polys","2.96","42.9","0","0","28.6","14.3","0","0","0","0","0","0","14.3","0","7","82485","  3"
"2016-17","Fall","CS","5984","SS Urban Computing","Ramakrishnan","3.9","85.7","0","14.3","0","0","0","0","0","0","0","0","0","0","7","89652","  3"
"2016-17","Spring","CS","5424","Computational Cell Biology","Cao","3.83","42.9","57.1","0","0","0","0","0","0","0","0","0","0","0","7","12639","  3"
"2017-18","Fall","CS","3414","Numerical Methods","Watson","2.71","14.3","0","14.3","42.9","14.3","0","0","0","0","0","0","14.3","2","7","82564","  3"
"2017-18","Spring","CS","6824","Computational Epidemiology","Vullikanti","4","100","0","0","0","0","0","0","0","0","0","0","0","0","7","20026","  3"
"2017-18","Spring","CS","6604","Adv Tops Data & Info","Reddy","4","100","0","0","0","0","0","0","0","0","0","0","0","0","7","20196","  3"
"2018-19","Fall","CS","5774","User Interface Software","Luther","4","100","0","0","0","0","0","0","0","0","0","0","0","0","7","89073","  3"
"2018-19","Fall","CS","4984","SS:Competitive Prblm Solvng II","Back","4","100","0","0","0","0","0","0","0","0","0","0","0","0","7","91101","  3"
"2018-19","Spring","CS","3634","Comp Sci Foundations for CMDA","Martin","2.63","28.6","0","0","14.3","28.6","0","14.3","0","0","0","0","14.3","1","7","20079","  3"
